Case,Percentile,P_rho,P_psi,P_omega,Separation,Status
2008 Financial,P95,0.1900000000000004,0.09,7398.584837142857,18.578314370409228,Defined
2008 Financial,P97.5,0.2400000000000002,0.12,7429.220280714286,18.578314370409228,Defined
2008 Financial,P99,0.2953999999999995,0.14999999999999994,7439.971694285715,18.57831437040923,Defined
2008 Financial,P99.5,0.3326999999999996,0.16,7441.672766142857,18.578314370409224,Defined
Terra-Luna,P95,7090.929296875,8.169995880126951,0.9014006214935532,1.9385940903271397,Defined
Terra-Luna,P97.5,7402.392382812501,9.084817123413087,0.9054762806447262,1.9385940903271395,Defined
Terra-Luna,P99,7624.252656249999,11.821498565673792,0.9082179612847839,1.9385940903271397,Defined
Terra-Luna,P99.5,7717.8041796875,12.21659851074219,0.9084764312926222,1.9385940903271395,Defined
Fukushima,P95,12.900969145959058,0.32675139897657,0.009935870398529872,2.8841972231212054,Defined
Fukushima,P97.5,13.205769245064085,0.3485248779138779,0.011475473701536178,2.8841972231212054,Defined
Fukushima,P99,13.531149665971885,0.36821649337096823,0.014403376341883127,2.884197223121205,Defined
Fukushima,P99.5,13.558971859473703,0.40375435182615965,0.017547182902973378,2.8841972231212045,Defined
COVID-19,P95,0.0,20.050000381469726,4.396,,Undefined: non-positive or non-finite P-limit (rho=0)
COVID-19,P97.5,0.0,20.718999671936025,4.476,,Undefined: non-positive or non-finite P-limit (rho=0)
COVID-19,P99,947.9085714285743,21.65840034484864,4.52,3626.659612987798,Defined
COVID-19,P99.5,1134.9685714285697,22.747400321960427,4.5226,3626.659612987798,Defined
Supply Chain,P95,0.16354747001635472,8.839999999999998,0.013843874649808893,9.213243275227477,Defined
Supply Chain,P97.5,0.23160510094409642,9.92,0.017473885376852495,9.213243275227475,Defined
Supply Chain,P99,0.27243967950074144,10.568,0.019651891813078658,9.213243275227477,Defined
Supply Chain,P99.5,0.2860512056862898,10.784,0.02037789395848738,9.213243275227477,Defined
