Perturbed_Variable,Noise_Level,Separation,Pct_Change,Seed,RNG,Truncation
ρ (Fed Funds Rate),10%,18.5,-0.5%,42,numpy.default_rng,lower=0
Ψ (TED Spread),10%,18.5,-0.6%,42,numpy.default_rng,lower=0
Ω (Bank Credit),10%,18.6,-0.0%,42,numpy.default_rng,lower=0
ρ (Fed Funds Rate),20%,18.6,+0.4%,42,numpy.default_rng,lower=0
Ψ (TED Spread),20%,19.1,+3.0%,42,numpy.default_rng,lower=0
Ω (Bank Credit),20%,18.6,+0.0%,42,numpy.default_rng,lower=0
ρ (Fed Funds Rate),30%,18.6,+0.4%,42,numpy.default_rng,lower=0
Ψ (TED Spread),30%,18.5,-0.3%,42,numpy.default_rng,lower=0
Ω (Bank Credit),30%,18.5,-0.4%,42,numpy.default_rng,lower=0
ρ (Fed Funds Rate),50%,17.4,-6.1%,42,numpy.default_rng,lower=0
Ψ (TED Spread),50%,18.5,-0.5%,42,numpy.default_rng,lower=0
Ω (Bank Credit),50%,19.0,+2.4%,42,numpy.default_rng,lower=0
