Case,Sigma,Event_date,Rolling_window,Min_periods,Control_start,Control_end,Post_control_search_start,Control_rolling_mean,Control_rolling_std,Matched_threshold,Control_valid_rolling_N,Control_exceedance_count,Control_exceedance_rate,First_control_exceedance,Control_exceedance_observed,Control_exceedance_interpretation,Post_control_valid_rolling_N,First_post_control_crossing,Days_relative_to_event,Crossing_timing
2008 Financial,2,2008-09-15,90,45,2004-01-09,2006-06-30,2006-07-03,0.0433267462,0.0209160162,0.0851587786,530,8,0.015094,2006-01-26,Yes,Threshold exceeded in control; crossing is not unique to the post-control crisis trajectory,643,2007-08-10,-402,Before event
2008 Financial,3,2008-09-15,90,45,2004-01-09,2006-06-30,2006-07-03,0.0433267462,0.0209160162,0.1060747947,530,0,0.0,N/A,No,No threshold exceedance observed in the prespecified control window,643,2007-08-10,-402,Before event
Terra-Luna,2,2022-05-09,30,15,2021-07-01,2022-01-31,2022-02-01,0.0637370943,0.0370985941,0.1379342825,201,0,0.0,N/A,No,No threshold exceedance observed in the prespecified control window,181,2022-03-29,-41,Before event
Terra-Luna,3,2022-05-09,30,15,2021-07-01,2022-01-31,2022-02-01,0.0637370943,0.0370985941,0.1750328766,201,0,0.0,N/A,No,No threshold exceedance observed in the prespecified control window,181,2022-05-10,1,After event
Fukushima,2,2011-03-11,30,15,2010-06-08,2011-02-28,2011-03-01,0.1343819692,0.0428504822,0.2200829337,163,1,0.006135,2010-09-02,Yes,Threshold exceeded in control; crossing is not unique to the post-control crisis trajectory,144,2011-03-17,6,After event
Fukushima,3,2011-03-11,30,15,2010-06-08,2011-02-28,2011-03-01,0.1343819692,0.0428504822,0.2629334159,163,0,0.0,N/A,No,No threshold exceedance observed in the prespecified control window,144,2011-03-17,6,After event
COVID-19,2,2020-03-23,30,15,2019-07-01,2020-01-31,2020-02-03,0.0010135654,0.0076547663,0.016323098,135,3,0.022222,2020-01-29,Yes,Threshold exceeded in control; crossing is not unique to the post-control crisis trajectory,61,2020-02-03,-49,Before event
COVID-19,3,2020-03-23,30,15,2019-07-01,2020-01-31,2020-02-03,0.0010135654,0.0076547663,0.0239778643,135,2,0.014815,2020-01-30,Yes,Threshold exceeded in control; crossing is not unique to the post-control crisis trajectory,61,2020-02-03,-49,Before event
Supply Chain,2,2021-10-01,3,2,2019-02-01,2020-06-01,2020-07-01,0.0206686347,0.0418002209,0.1042690764,16,2,0.125,2020-04-01,Yes,Threshold exceeded in control; crossing is not unique to the post-control crisis trajectory,30,2021-03-01,-214,Before event
Supply Chain,3,2021-10-01,3,2,2019-02-01,2020-06-01,2020-07-01,0.0206686347,0.0418002209,0.1460692973,16,0,0.0,N/A,No,No threshold exceedance observed in the prespecified control window,30,2021-03-01,-214,Before event
