Case,Method,Level,N_post_control,N_control,Mean_post_control,Mean_control,Post_control_to_control_mean_ratio,Rank_within_case
2008 Financial,rho only,1-Single,643,574,0.3557542768,0.2088103534,1.7037195284,8
2008 Financial,psi only,1-Single,643,574,0.8977977459,0.213683486,4.2015307899,4
2008 Financial,omega only,1-Single,643,574,1.0356572888,0.8192518086,1.2641501403,9
2008 Financial,rho x psi,2-Dual,643,574,0.6319549017,0.0516810157,12.2279892023,2
2008 Financial,rho x omega,2-Dual,643,574,0.3785253924,0.1728035624,2.1904953074,5
2008 Financial,psi x omega,2-Dual,643,574,0.9613276802,0.1774442165,5.4176332112,3
2008 Financial,rho + psi + omega,3-Triple,643,574,2.2892093115,1.2417456481,1.8435412398,6
2008 Financial,"max(rho,psi,omega)",3-Triple,643,574,1.4578807401,0.8281606203,1.760384042,7
2008 Financial,rho x psi x omega,3-Triple,643,574,0.6852971574,0.043054445,15.9169896817,1
Terra-Luna,rho only,1-Single,181,215,0.2794010963,0.3630720493,0.7695472478,9
Terra-Luna,psi only,1-Single,181,215,0.1903941887,0.1937253367,0.9828047891,6
Terra-Luna,omega only,1-Single,181,215,0.8846838182,0.8631989214,1.024889856,4
Terra-Luna,rho x psi,2-Dual,181,215,0.0795190514,0.0801327102,0.9923419684,5
Terra-Luna,rho x omega,2-Dual,181,215,0.2509289932,0.3107328068,0.8075394286,8
Terra-Luna,psi x omega,2-Dual,181,215,0.1826469981,0.1653026856,1.1049245657,2
Terra-Luna,rho + psi + omega,3-Triple,181,215,1.3544791033,1.4199963075,0.9538610038,7
Terra-Luna,"max(rho,psi,omega)",3-Triple,181,215,0.9043742313,0.8737303936,1.0350724181,3
Terra-Luna,rho x psi x omega,3-Triple,181,215,0.0757297499,0.067924871,1.1149045824,1
Fukushima,rho only,1-Single,144,177,0.9372906384,0.5654146756,1.6577048295,3
Fukushima,psi only,1-Single,144,177,0.5912367364,0.5016142649,1.1786681077,8
Fukushima,omega only,1-Single,144,177,0.2794159077,0.2924839938,0.9553203375,9
Fukushima,rho x psi,2-Dual,144,177,0.5595664809,0.2914555024,1.9199036434,2
Fukushima,rho x omega,2-Dual,144,177,0.2695471119,0.1667679796,1.6163001587,4
Fukushima,psi x omega,2-Dual,144,177,0.2004702553,0.1486946829,1.3482005636,6
Fukushima,rho + psi + omega,3-Triple,144,177,1.8079432825,1.3595129343,1.3298463272,7
Fukushima,"max(rho,psi,omega)",3-Triple,144,177,1.0217853543,0.757158661,1.3494996582,5
Fukushima,rho x psi x omega,3-Triple,144,177,0.1981685061,0.0855652654,2.3159924201,1
COVID-19,rho only,1-Single,61,149,35.3970763097,0.0224291528,1578.1726852348,4
COVID-19,psi only,1-Single,61,149,1.8767866586,0.6846081208,2.7414028573,8
COVID-19,omega only,1-Single,61,149,1.4862904396,0.8768486072,1.6950365517,9
COVID-19,rho x psi,2-Dual,61,149,73.5213268723,0.0176824793,4157.8630343501,2
COVID-19,rho x omega,2-Dual,61,149,64.4337895699,0.0196108123,3285.6257334798,3
COVID-19,psi x omega,2-Dual,61,149,3.1503218892,0.6048629496,5.2083234581,7
COVID-19,rho + psi + omega,3-Triple,61,149,38.7601534079,1.5838858809,24.4715568689,6
COVID-19,"max(rho,psi,omega)",3-Triple,61,149,35.4411532239,0.882917696,40.140947886,5
COVID-19,rho x psi x omega,3-Triple,61,149,137.0790413705,0.0154784546,8856.119382544,1
Supply Chain,rho only,1-Single,30,17,0.0755324803,0.1604814997,0.4706616057,9
Supply Chain,psi only,1-Single,30,17,1.4178021701,0.2337801131,6.0646825397,2
Supply Chain,omega only,1-Single,30,17,0.7093176766,0.2382805054,2.9768179126,6
Supply Chain,rho x psi,2-Dual,30,17,0.1040880897,0.0380231875,2.7374898491,7
Supply Chain,rho x omega,2-Dual,30,17,0.0592277063,0.1053193948,0.5623627669,8
Supply Chain,psi x omega,2-Dual,30,17,1.2480664686,0.0657646371,18.9777747353,1
Supply Chain,rho + psi + omega,3-Triple,30,17,2.202652327,0.6325421182,3.4822223908,5
Supply Chain,"max(rho,psi,omega)",3-Triple,30,17,1.558460592,0.3767534235,4.1365532332,4
Supply Chain,rho x psi x omega,3-Triple,30,17,0.0929237419,0.0199656906,4.6541711893,3
