Case,Formulation,N_post_control,N_control,Mean_post_control,Mean_control,Post_control_to_control_mean_ratio,Rank_within_case
2008 Financial,Multiplicative,643,574,0.6852971574,0.043054445,15.9169896817,1
2008 Financial,Additive,643,574,2.2892093115,1.2417456481,1.8435412398,2
2008 Financial,Maximum,643,574,1.4578807401,0.8281606203,1.760384042,3
Terra-Luna,Multiplicative,181,215,0.0757297499,0.067924871,1.1149045824,1
Terra-Luna,Additive,181,215,1.3544791033,1.4199963075,0.9538610038,3
Terra-Luna,Maximum,181,215,0.9043742313,0.8737303936,1.0350724181,2
Fukushima,Multiplicative,144,177,0.1981365796,0.1288176663,1.5381165127,1
Fukushima,Additive,144,177,1.8282798637,1.6603562579,1.1011370933,3
Fukushima,Maximum,144,177,1.023107478,0.881108263,1.1611597814,2
COVID-19,Multiplicative,61,149,137.0790413705,0.0154784546,8856.119382544,1
COVID-19,Additive,61,149,38.7601534079,1.5838858809,24.4715568689,3
COVID-19,Maximum,61,149,35.4411532239,0.882917696,40.140947886,2
Supply Chain,Multiplicative,30,17,0.0929237419,0.0199656906,4.6541711893,1
Supply Chain,Additive,30,17,2.202652327,0.6325421182,3.4822223908,3
Supply Chain,Maximum,30,17,1.558460592,0.3767534235,4.1365532332,2
