Case,Frequency,Control_end,Post_control_start,N_post_control,Method,Block_size_observations,N_permutations,RNG_seed,Observed_mean_stress,Null_mean_stress,Null_std_stress,z_score,Exceedance_count,p_value_plus_one
2008 Financial,daily,2006-06-30,2006-07-03,643,Independent shuffle,1,10000,20260731,0.6852971574,0.3310818619,0.0376735858,9.402218764,0,9.999e-05
2008 Financial,daily,2006-06-30,2006-07-03,643,Block shuffle,5,10000,20260732,0.6852971574,0.3317975514,0.0551746693,6.4069184366,1,0.00019998
2008 Financial,daily,2006-06-30,2006-07-03,643,Block shuffle,10,10000,20260733,0.6852971574,0.3310590149,0.0614423196,5.7653771054,0,9.999e-05
2008 Financial,daily,2006-06-30,2006-07-03,643,Block shuffle,20,10000,20260734,0.6852971574,0.3332966632,0.0726400663,4.8458173605,1,0.00019998
Terra-Luna,daily,2022-01-31,2022-02-01,181,Independent shuffle,1,10000,20260831,0.0757297499,0.0470544836,0.0053218861,5.3881773501,1,0.00019998
Terra-Luna,daily,2022-01-31,2022-02-01,181,Block shuffle,5,10000,20260832,0.0757297499,0.0470928449,0.0072908237,3.9278010415,6,0.00069993
Terra-Luna,daily,2022-01-31,2022-02-01,181,Block shuffle,10,10000,20260833,0.0757297499,0.0480935867,0.0080771967,3.4215042861,13,0.00139986
Terra-Luna,daily,2022-01-31,2022-02-01,181,Block shuffle,20,10000,20260834,0.0757297499,0.0481927329,0.0079358817,3.4699379324,23,0.00239976
Fukushima,daily,2011-02-28,2011-03-01,144,Independent shuffle,1,10000,20260931,0.1981365796,0.1582200182,0.0100953317,3.9539623464,13,0.00139986
Fukushima,daily,2011-02-28,2011-03-01,144,Block shuffle,5,10000,20260932,0.1981365796,0.1580080118,0.012397758,3.2367600417,128,0.0128987101
Fukushima,daily,2011-02-28,2011-03-01,144,Block shuffle,10,10000,20260933,0.1981365796,0.1590374305,0.0117677782,3.3225600102,78,0.0078992101
Fukushima,daily,2011-02-28,2011-03-01,144,Block shuffle,20,10000,20260934,0.1981365796,0.1578859132,0.0138722057,2.9015332735,22,0.00229977
COVID-19,daily,2020-01-31,2020-02-03,61,Independent shuffle,1,10000,20261031,137.0790413705,98.7779580901,8.0522759734,4.7565537255,0,9.999e-05
COVID-19,daily,2020-01-31,2020-02-03,61,Block shuffle,5,10000,20261032,137.0790413705,98.9663603155,16.6066440998,2.2950260646,149,0.0149985001
COVID-19,daily,2020-01-31,2020-02-03,61,Block shuffle,10,10000,20261033,137.0790413705,99.195722487,23.4085717874,1.6183524235,661,0.0661933807
COVID-19,daily,2020-01-31,2020-02-03,61,Block shuffle,20,10000,20261034,137.0790413705,101.0624577263,34.7989667402,1.0349900304,2284,0.2284771523
Supply Chain,monthly,2020-06-01,2020-07-01,30,Independent shuffle,1,10000,20261131,0.0929237419,0.0762208083,0.0232153992,0.7194764767,1920,0.1920807919
Supply Chain,monthly,2020-06-01,2020-07-01,30,Block shuffle,2,10000,20261132,0.0929237419,0.0775589223,0.0249773699,0.6151496189,2044,0.204479552
Supply Chain,monthly,2020-06-01,2020-07-01,30,Block shuffle,3,10000,20261133,0.0929237419,0.0756990676,0.0293640703,0.5865901475,1475,0.1475852415
Supply Chain,monthly,2020-06-01,2020-07-01,30,Block shuffle,4,10000,20261134,0.0929237419,0.078232449,0.0275433545,0.5333879315,2083,0.2083791621
