Case,Combination_id,Event_date,Preloaded_cutoff,Ductile_lead_cutoff_days,Onset_fraction,Nearest_observation_date,Pi_at_event,Pi_final,Pct_of_max,First_crossing_date,Lead_days,Label,Baseline_label,Retains_baseline_label
2008 Financial,1,2008-09-15,0.7,200,0.05,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-04-25,509,Ductile,Ductile,Yes
2008 Financial,2,2008-09-15,0.7,200,0.1,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-16,396,Ductile,Ductile,Yes
2008 Financial,3,2008-09-15,0.7,200,0.15,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-22,390,Ductile,Ductile,Yes
2008 Financial,4,2008-09-15,0.7,200,0.2,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-09-20,361,Ductile,Ductile,Yes
2008 Financial,5,2008-09-15,0.7,250,0.05,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-04-25,509,Ductile,Ductile,Yes
2008 Financial,6,2008-09-15,0.7,250,0.1,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-16,396,Ductile,Ductile,Yes
2008 Financial,7,2008-09-15,0.7,250,0.15,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-22,390,Ductile,Ductile,Yes
2008 Financial,8,2008-09-15,0.7,250,0.2,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-09-20,361,Ductile,Ductile,Yes
2008 Financial,9,2008-09-15,0.7,300,0.05,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-04-25,509,Ductile,Ductile,Yes
2008 Financial,10,2008-09-15,0.7,300,0.1,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-16,396,Ductile,Ductile,Yes
2008 Financial,11,2008-09-15,0.7,300,0.15,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-22,390,Ductile,Ductile,Yes
2008 Financial,12,2008-09-15,0.7,300,0.2,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-09-20,361,Ductile,Ductile,Yes
2008 Financial,13,2008-09-15,0.7,350,0.05,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-04-25,509,Ductile,Ductile,Yes
2008 Financial,14,2008-09-15,0.7,350,0.1,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-16,396,Ductile,Ductile,Yes
2008 Financial,15,2008-09-15,0.7,350,0.15,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-08-22,390,Ductile,Ductile,Yes
2008 Financial,16,2008-09-15,0.7,350,0.2,2008-09-15,0.6279875138,1.2578919304,49.9238049501,2007-09-20,361,Ductile,Ductile,Yes
