Case,N,Block_size,Method,Actual_Pi,Mean_shuffled,Std_shuffled,z_score,p_value_plus_one,Exceedances,N_permutations,Seed,Case_seed_index,Block_seed_component,Significant_005,Significant_001
2008 Financial,990,5,Block B=5,1.257892,0.556062,0.080575,8.71,9.999000099990002e-05,0,10000,42,0,5,Yes,Yes
2008 Financial,990,10,Block B=10,1.257892,0.555617,0.095411,7.36,9.999000099990002e-05,0,10000,42,0,10,Yes,Yes
2008 Financial,990,20,Block B=20,1.257892,0.555526,0.10697,6.57,9.999000099990002e-05,0,10000,42,0,20,Yes,Yes
2008 Financial,990,1,Independent,1.257892,0.55319,0.05452,12.93,9.999000099990002e-05,0,10000,42,0,0,Yes,Yes
Terra-Luna,396,5,Block B=5,0.077564,0.059118,0.004351,4.24,0.00019998000199980003,1,10000,42,1,5,Yes,Yes
Terra-Luna,396,10,Block B=10,0.077564,0.059112,0.004342,4.25,9.999000099990002e-05,0,10000,42,1,10,Yes,Yes
Terra-Luna,396,20,Block B=20,0.077564,0.05938,0.004587,3.96,0.00019998000199980003,1,10000,42,1,20,Yes,Yes
Terra-Luna,396,1,Independent,0.077564,0.05915,0.003352,5.49,9.999000099990002e-05,0,10000,42,1,0,Yes,Yes
Fukushima,321,5,Block B=5,0.119675,0.099892,0.005319,3.72,0.0021997800219978004,21,10000,42,2,5,Yes,No
Fukushima,321,10,Block B=10,0.119675,0.100314,0.005514,3.51,0.0016998300169983002,16,10000,42,2,10,Yes,No
Fukushima,321,20,Block B=20,0.119675,0.100265,0.006205,3.13,0.003999600039996,39,10000,42,2,20,Yes,No
Fukushima,321,1,Independent,0.119675,0.100054,0.004919,3.99,0.0010998900109989002,10,10000,42,2,0,Yes,No
COVID-19,210,5,Block B=5,22.915419,6.441145,2.028988,8.12,9.999000099990002e-05,0,10000,42,3,5,Yes,Yes
COVID-19,210,10,Block B=10,22.915419,6.466547,2.848521,5.77,0.00019998000199980003,1,10000,42,3,10,Yes,Yes
COVID-19,210,20,Block B=20,22.915419,6.574503,3.116679,5.24,0.0010998900109989002,10,10000,42,3,20,Yes,No
COVID-19,210,1,Independent,22.915419,6.435776,0.928436,17.75,9.999000099990002e-05,0,10000,42,3,0,Yes,Yes
Supply Chain,47,2,Block B=2,0.260594,0.223828,0.117827,0.31,0.26877312268773124,2687,10000,42,4,2,No,No
Supply Chain,47,3,Block B=3,0.260594,0.219988,0.116775,0.35,0.2693730626937306,2693,10000,42,4,3,No,No
Supply Chain,47,4,Block B=4,0.260594,0.221224,0.128783,0.31,0.2712728727127287,2712,10000,42,4,4,No,No
Supply Chain,47,1,Independent,0.260594,0.221668,0.102362,0.38,0.26447355264473554,2644,10000,42,4,0,No,No
